Timeline Trace
Generated on: 2022-08-30 14:24:32
Msec since Epoch: 1661840672995
Profiled application: host
Target platform: Xilinx
Tool version: 2019.2
XRT build version: 2.3.1301
Build version branch: 2019.2
Build version hash: 192e706aea53163a04c574f9b3fe9ed76b6ca471
Build version date: 2019-10-25 03:04:42


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
17.858044,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
17.890245,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
17.896447,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
17.900415,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
17.905134,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
17.909001,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
17.912928,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
17.916405,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
17.921585,clGetPlatformInfo|General,START,,,,,,,,,,,4,
17.925693,clGetPlatformInfo|General,END,,,,,,,,,,,4,
17.929199,clGetPlatformInfo|General,START,,,,,,,,,,,5,
17.932746,clGetPlatformInfo|General,END,,,,,,,,,,,5,
17.941693,clGetPlatformInfo|General,START,,,,,,,,,,,6,
17.94532,clGetPlatformInfo|General,END,,,,,,,,,,,6,
17.948826,clGetPlatformInfo|General,START,,,,,,,,,,,7,
17.952243,clGetPlatformInfo|General,END,,,,,,,,,,,7,
17.955619,clGetPlatformInfo|General,START,,,,,,,,,,,8,
17.959156,clGetPlatformInfo|General,END,,,,,,,,,,,8,
17.962522,clGetPlatformInfo|General,START,,,,,,,,,,,9,
17.965929,clGetPlatformInfo|General,END,,,,,,,,,,,9,
17.969325,clGetPlatformInfo|General,START,,,,,,,,,,,10,
17.972832,clGetPlatformInfo|General,END,,,,,,,,,,,10,
17.976218,clGetPlatformInfo|General,START,,,,,,,,,,,11,
17.979615,clGetPlatformInfo|General,END,,,,,,,,,,,11,
17.983051,clGetPlatformInfo|General,START,,,,,,,,,,,12,
17.986658,clGetPlatformInfo|General,END,,,,,,,,,,,12,
17.990015,clGetPlatformInfo|General,START,,,,,,,,,,,13,
17.993481,clGetPlatformInfo|General,END,,,,,,,,,,,13,
17.996918,clGetPlatformInfo|General,START,,,,,,,,,,,14,
18.000314,clGetPlatformInfo|General,END,,,,,,,,,,,14,
18.003751,clGetPlatformInfo|General,START,,,,,,,,,,,15,
18.007197,clGetPlatformInfo|General,END,,,,,,,,,,,15,
18.022657,clGetPlatformInfo|General,START,,,,,,,,,,,16,
18.026253,clGetPlatformInfo|General,END,,,,,,,,,,,16,
18.032215,clGetPlatformInfo|General,START,,,,,,,,,,,17,
18.035701,clGetPlatformInfo|General,END,,,,,,,,,,,17,
18.079975,clGetDeviceIDs|General,START,,,,,,,,,,,18,
18.087951,clGetDeviceIDs|General,END,,,,,,,,,,,18,
18.091938,clGetDeviceIDs|General,START,,,,,,,,,,,19,
18.095645,clGetDeviceIDs|General,END,,,,,,,,,,,19,
18.102498,clRetainDevice|General,START,,,,,,,,,,,20,
18.106416,clRetainDevice|General,END,,,,,,,,,,,20,
18.110694,clRetainDevice|General,START,,,,,,,,,,,21,
18.11422,clRetainDevice|General,END,,,,,,,,,,,21,
18.11927,clCreateContext|General,START,,,,,,,,,,,22,
18.128908,clCreateContext|General,END,,,,,,,,,,,22,
18.13518,clCreateCommandQueue|General,START,,,,,,,,,,,23,
18.142314,clCreateCommandQueue|General,END,,,,,,,,,,,23,
18.147033,clGetDeviceInfo|General,START,,,,,,,,,,,24,
18.151421,clGetDeviceInfo|General,END,,,,,,,,,,,24,
18.155258,clGetDeviceInfo|General,START,,,,,,,,,,,25,
18.160188,clGetDeviceInfo|General,END,,,,,,,,,,,25,
35.936396,clRetainDevice|General,START,,,,,,,,,,,26,
35.962325,clRetainDevice|General,END,,,,,,,,,,,26,
35.969178,clRetainDevice|General,START,,,,,,,,,,,27,
35.972725,clRetainDevice|General,END,,,,,,,,,,,27,
35.987854,clCreateProgramWithBinary|General,START,,,,,,,,,,,28,
74.166406,clCreateProgramWithBinary|General,END,,,,,,,,,,,28,
74.192826,clReleaseDevice|General,START,,,,,,,,,,,29,
74.198808,clReleaseDevice|General,END,,,,,,,,,,,29,
74.203266,clReleaseDevice|General,START,,,,,,,,,,,30,
74.207324,clReleaseDevice|General,END,,,,,,,,,,,30,
74.248703,clCreateKernel|General,START,,,,,,,,,,,31,
75.141558,clCreateKernel|General,END,,,,,,,,,,,31,
75.149683,clCreateBuffer|General,START,,,,,,,,,,,32,
75.17415,clCreateBuffer|General,END,,,,,,,,,,,32,
75.178267,clCreateBuffer|General,START,,,,,,,,,,,33,
75.185691,clCreateBuffer|General,END,,,,,,,,,,,33,
75.192314,clSetKernelArg|General,START,,,,,,,,,,,34,
75.199167,clSetKernelArg|General,END,,,,,,,,,,,34,
75.202814,clSetKernelArg|General,START,,,,,,,,,,,35,
75.206681,clSetKernelArg|General,END,,,,,,,,,,,35,
75.450685,clRetainMemObject|General,START,,,,,,,,,,,36,
75.458489,clRetainMemObject|General,END,,,,,,,,,,,36,
75.463008,clRetainMemObject|General,START,,,,,,,,,,,37,
75.467236,clRetainMemObject|General,END,,,,,,,,,,,37,
75.473949,clEnqueueMigrateMemObjects|15308384,START,,,,,,,,,,,38,
75.506791,WRITE_BUFFER,QUEUE,0X0|HBM[0],144,,,,,,,,,
75.522771,WRITE_BUFFER,SUBMIT,0X0|HBM[0],144,,,,,,,,,
75.544362,clEnqueueMigrateMemObjects|15308384,END,,,,,,,,,,,38,
75.550093,clReleaseMemObject|General,START,,,,,,,,,,,39,
75.555223,clReleaseMemObject|General,END,,,,,,,,,,,39,
75.55914,clReleaseMemObject|General,START,,,,,,,,,,,40,
75.602002,WRITE_BUFFER,START,0X0|HBM[0]|0X7f520b47e700,144,,,,,,,0,None,
75.563048,clReleaseMemObject|General,END,,,,,,,,,,,40,
75.641046,clEnqueueTask|15308384,START,,,,,,,,,,,41,
75.654401,DEPENDENCY_EVENT,,0,1,
75.660643,WRITE_BUFFER,QUEUE,0X0|HBM[0],144,,,,,,,,,
75.666895,DEPENDENCY_EVENT,,1,2,
75.676453,WRITE_BUFFER,END,0X0|HBM[0]|0X7f520b47e700,144,,,,,,,0,1,
75.697072,DEPENDENCY_EVENT,,1,2,
75.709125,WRITE_BUFFER,SUBMIT,0X0|HBM[0],144,,,,,,,,,
75.709766,KERNEL|xilinx_u50_xdma_201920_1-0|alveo_hls4ml|alveo_hls4ml|1:1:1|all,QUEUE,0XE7BE80,1,,,,,,,,,
75.73778,clEnqueueTask|15308384,END,,,,,,,,,,,41,
75.745224,clRetainMemObject|General,START,,,,,,,,,,,42,
75.751636,clRetainMemObject|General,END,,,,,,,,,,,42,
75.757357,clRetainMemObject|General,START,,,,,,,,,,,43,
75.762687,clRetainMemObject|General,END,,,,,,,,,,,43,
75.768869,clEnqueueMigrateMemObjects|15308384,START,,,,,,,,,,,44,
75.777335,DEPENDENCY_EVENT,,2,3,
75.782104,READ_BUFFER,QUEUE,0X1000|HBM[0],144,,,,,,,,,
75.789047,clEnqueueMigrateMemObjects|15308384,END,,,,,,,,,,,44,
75.795048,clReleaseMemObject|General,START,,,,,,,,,,,45,
75.800819,clReleaseMemObject|General,END,,,,,,,,,,,45,
75.80621,clReleaseMemObject|General,START,,,,,,,,,,,46,
75.81148,clReleaseMemObject|General,END,,,,,,,,,,,46,
75.719174,WRITE_BUFFER,END,0X0|HBM[0]|0X7f520b47e700,144,,,,,,,1,2|2,
75.818934,clFinish|General,START,,,,,,,,,,,47,
75.832299,KERNEL|xilinx_u50_xdma_201920_1-0|alveo_hls4ml|alveo_hls4ml|1:1:1|all,SUBMIT,0XE7BE80,1,,,,,,,,,
75.855333,KERNEL|xilinx_u50_xdma_201920_1-0|alveo_hls4ml|alveo_hls4ml|1:1:1|all,START,0XE7BE80,1,,,,,,,2,3,
76.037128,KERNEL|xilinx_u50_xdma_201920_1-0|alveo_hls4ml|alveo_hls4ml|1:1:1|all,END,0XE7BE80,1,,,,,,,2,3,
76.084718,READ_BUFFER,SUBMIT,0X1000|HBM[0],144,,,,,,,,,
76.105818,READ_BUFFER,START,0X1000|HBM[0]|0X7f520bc7f700,144,,,,,,,3,None,
76.145514,READ_BUFFER,END,0X1000|HBM[0]|0X7f520bc7f700,144,,,,,,,3,None,
76.161103,clFinish|General,END,,,,,,,,,,,47,
76.614985,clRetainMemObject|General,START,,,,,,,,,,,48,
76.621467,clRetainMemObject|General,END,,,,,,,,,,,48,
76.625685,clRetainMemObject|General,START,,,,,,,,,,,49,
76.629392,clRetainMemObject|General,END,,,,,,,,,,,49,
76.63344,clEnqueueMigrateMemObjects|15308384,START,,,,,,,,,,,50,
76.641024,WRITE_BUFFER,QUEUE,0X0|HBM[0],144,,,,,,,,,
76.647116,WRITE_BUFFER,SUBMIT,0X0|HBM[0],144,,,,,,,,,
76.65465,clEnqueueMigrateMemObjects|15308384,END,,,,,,,,,,,50,
76.659179,clReleaseMemObject|General,START,,,,,,,,,,,51,
76.663156,clReleaseMemObject|General,END,,,,,,,,,,,51,
76.667084,clReleaseMemObject|General,START,,,,,,,,,,,52,
76.674368,clReleaseMemObject|General,END,,,,,,,,,,,52,
76.679588,clEnqueueTask|15308384,START,,,,,,,,,,,53,
76.688665,DEPENDENCY_EVENT,,4,5,
76.694666,DEPENDENCY_EVENT,,5,6,
76.669488,WRITE_BUFFER,START,0X0|HBM[0]|0X7f520ac7d700,144,,,,,,,4,None,
76.716828,DEPENDENCY_EVENT,,5,6,
76.72275,KERNEL|xilinx_u50_xdma_201920_1-0|alveo_hls4ml|alveo_hls4ml|1:1:1|all,QUEUE,0XE7BE80,1,,,,,,,,,
76.731997,clEnqueueTask|15308384,END,,,,,,,,,,,53,
76.736997,clRetainMemObject|General,START,,,,,,,,,,,54,
76.742397,clRetainMemObject|General,END,,,,,,,,,,,54,
76.748508,clRetainMemObject|General,START,,,,,,,,,,,55,
76.77548,clRetainMemObject|General,END,,,,,,,,,,,55,
76.781862,clEnqueueMigrateMemObjects|15308384,START,,,,,,,,,,,56,
76.790779,DEPENDENCY_EVENT,,6,7,
76.795257,READ_BUFFER,QUEUE,0X1000|HBM[0],144,,,,,,,,,
76.80177,clEnqueueMigrateMemObjects|15308384,END,,,,,,,,,,,56,
76.807761,clReleaseMemObject|General,START,,,,,,,,,,,57,
76.813211,clReleaseMemObject|General,END,,,,,,,,,,,57,
76.818571,clReleaseMemObject|General,START,,,,,,,,,,,58,
76.823711,clReleaseMemObject|General,END,,,,,,,,,,,58,
76.829332,clFinish|General,START,,,,,,,,,,,59,
76.740633,WRITE_BUFFER,END,0X0|HBM[0]|0X7f520ac7d700,144,,,,,,,4,5,
76.850743,KERNEL|xilinx_u50_xdma_201920_1-0|alveo_hls4ml|alveo_hls4ml|1:1:1|all,SUBMIT,0XE7BE80,1,,,,,,,,,
76.863116,KERNEL|xilinx_u50_xdma_201920_1-0|alveo_hls4ml|alveo_hls4ml|1:1:1|all,START,0XE7BE80,1,,,,,,,6,7,
76.947947,KERNEL|xilinx_u50_xdma_201920_1-0|alveo_hls4ml|alveo_hls4ml|1:1:1|all,END,0XE7BE80,1,,,,,,,6,7,
76.966703,READ_BUFFER,SUBMIT,0X1000|HBM[0],144,,,,,,,,,
77.010536,READ_BUFFER,START,0X1000|HBM[0]|0X7f5203fff700,144,,,,,,,7,None,
77.078705,READ_BUFFER,END,0X1000|HBM[0]|0X7f5203fff700,144,,,,,,,7,None,
77.097721,clFinish|General,END,,,,,,,,,,,59,
77.517819,clRetainMemObject|General,START,,,,,,,,,,,60,
77.5236,clRetainMemObject|General,END,,,,,,,,,,,60,
77.527658,clRetainMemObject|General,START,,,,,,,,,,,61,
77.531415,clRetainMemObject|General,END,,,,,,,,,,,61,
77.535693,clEnqueueMigrateMemObjects|15308384,START,,,,,,,,,,,62,
77.542997,WRITE_BUFFER,QUEUE,0X0|HBM[0],144,,,,,,,,,
77.548638,WRITE_BUFFER,SUBMIT,0X0|HBM[0],144,,,,,,,,,
77.555741,clEnqueueMigrateMemObjects|15308384,END,,,,,,,,,,,62,
77.56021,clReleaseMemObject|General,START,,,,,,,,,,,63,
77.574006,clReleaseMemObject|General,END,,,,,,,,,,,63,
